timestamp,open,close,high,low,volume,ema20
2026-04-27 13:30:00,2314.16,2315.41,2315.86,2310.24,192766.41,2315.41
2026-04-27 13:15:00,2313.34,2314.16,2316.29,2312.6,110147.45,2315.29
2026-04-27 13:00:00,2313.08,2313.34,2316.24,2312.15,167112.83,2315.11
2026-04-27 12:45:00,2314.32,2313.08,2316.5,2311.28,179639.77,2314.91
2026-04-27 12:30:00,2315.18,2314.32,2316.26,2311.32,228478.85,2314.86
2026-04-27 12:15:00,2318.48,2315.18,2319.47,2313.25,168034.7,2314.89
2026-04-27 12:00:00,2318.75,2318.48,2319.64,2315.1,132410.96,2315.23
2026-04-27 11:45:00,2318.27,2318.76,2319.39,2317.0,57857.04,2315.57
2026-04-27 11:30:00,2320.02,2318.27,2321.3,2317.0,69220.94,2315.82
2026-04-27 11:15:00,2316.99,2320.01,2320.8,2316.31,75848.41,2316.22
2026-04-27 11:00:00,2318.5,2316.99,2320.62,2315.35,139327.15,2316.29
2026-04-27 10:45:00,2318.13,2318.51,2321.36,2318.0,91465.9,2316.51
2026-04-27 10:30:00,2318.6,2318.12,2320.04,2317.78,81819.62,2316.66
2026-04-27 10:15:00,2320.1,2318.6,2320.94,2316.83,131999.65,2316.84
2026-04-27 10:00:00,2320.73,2320.1,2322.92,2319.0,101489.07,2317.15
2026-04-27 09:45:00,2322.28,2320.73,2324.43,2320.16,162128.15,2317.49
2026-04-27 09:30:00,2317.83,2322.28,2323.8,2317.12,321236.24,2317.95
2026-04-27 09:15:00,2320.17,2317.84,2320.8,2314.0,197555.15,2317.94
2026-04-27 09:00:00,2318.58,2320.16,2320.68,2317.4,186273.48,2318.15
2026-04-27 08:45:00,2311.33,2318.57,2318.58,2311.33,315877.44,2318.19
2026-04-27 08:30:00,2309.39,2311.34,2312.93,2307.47,316301.38,2317.54
2026-04-27 08:15:00,2314.99,2309.39,2316.6,2308.41,505090.08,2316.76
2026-04-27 08:00:00,2314.57,2315.0,2318.49,2313.0,294616.39,2316.59
2026-04-27 07:45:00,2319.13,2314.58,2319.99,2314.57,166575.24,2316.4
2026-04-27 07:30:00,2318.5,2319.13,2319.99,2314.32,187964.38,2316.66
2026-04-27 07:15:00,2316.9,2318.51,2320.2,2313.48,225229.24,2316.84
2026-04-27 07:00:00,2319.45,2316.9,2322.28,2316.0,332301.66,2316.84
2026-04-27 06:45:00,2317.78,2319.45,2322.85,2317.25,259118.45,2317.09
2026-04-27 06:30:00,2324.41,2317.78,2324.41,2310.57,626771.49,2317.16
2026-04-27 06:15:00,2322.11,2324.4,2327.78,2320.2,522028.46,2317.85
2026-04-27 06:00:00,2321.93,2322.11,2322.67,2315.24,654982.39,2318.25
2026-04-27 05:45:00,2324.35,2321.94,2326.0,2317.49,784469.24,2318.6
2026-04-27 05:30:00,2333.23,2324.35,2335.25,2316.84,2037830.05,2319.15
2026-04-27 05:15:00,2362.1,2333.22,2362.44,2327.09,3843492.35,2320.49
2026-04-27 05:00:00,2382.06,2362.1,2382.71,2361.92,1189389.86,2324.45
2026-04-27 04:45:00,2386.56,2382.05,2387.86,2379.59,533084.5,2329.94
2026-04-27 04:30:00,2390.54,2386.56,2391.41,2385.78,196295.81,2335.33
2026-04-27 04:15:00,2389.75,2390.55,2391.29,2386.75,219601.44,2340.59
2026-04-27 04:00:00,2393.57,2389.74,2394.92,2388.6,258333.43,2345.27
2026-04-27 03:45:00,2398.84,2393.56,2399.28,2393.17,187429.23,2349.87
2026-04-27 03:30:00,2396.73,2398.84,2399.99,2393.7,359713.17,2354.53
2026-04-27 03:15:00,2394.68,2396.73,2398.0,2392.23,208336.13,2358.55
2026-04-27 03:00:00,2390.88,2394.69,2397.36,2389.22,262940.19,2361.99
2026-04-27 02:45:00,2390.67,2390.88,2394.8,2390.22,153821.96,2364.75
2026-04-27 02:30:00,2391.84,2390.67,2395.77,2389.5,233938.05,2367.21
2026-04-27 02:15:00,2388.74,2391.84,2393.0,2386.42,209435.74,2369.56
2026-04-27 02:00:00,2393.62,2388.74,2394.69,2385.56,240522.75,2371.39
2026-04-27 01:45:00,2385.69,2393.62,2396.92,2385.69,677760.44,2373.5
2026-04-27 01:30:00,2381.55,2385.69,2388.62,2378.53,271151.75,2374.66
2026-04-27 01:15:00,2385.99,2381.55,2386.2,2376.25,664926.42,2375.32
2026-04-27 01:00:00,2389.0,2385.99,2404.0,2385.25,1312123.0,2376.34
2026-04-27 00:45:00,2371.0,2389.0,2392.0,2369.48,1253473.31,2377.54
2026-04-27 00:30:00,2361.78,2371.01,2373.62,2359.33,324870.47,2376.92
2026-04-27 00:15:00,2365.39,2361.79,2366.66,2356.32,278794.57,2375.48
2026-04-27 00:00:00,2368.23,2365.4,2374.5,2364.27,322348.15,2374.52
2026-04-26 23:45:00,2371.28,2368.22,2378.68,2366.63,604259.76,2373.92
2026-04-26 23:30:00,2360.01,2371.28,2371.75,2357.29,282504.2,2373.67
2026-04-26 23:15:00,2360.0,2360.01,2367.45,2357.88,194180.33,2372.37
2026-04-26 23:00:00,2360.25,2360.0,2361.0,2355.5,201819.6,2371.19
2026-04-26 22:45:00,2359.19,2360.26,2365.95,2358.61,182248.82,2370.15
