timestamp,datetime_utc,open,high,low,close,volume,ema20
1777275000,2026-04-27 07:30:00 UTC,77690.95,77690.95,77587.5,77679.41,58.9,
1777275900,2026-04-27 07:45:00 UTC,77679.42,77732.55,77606.59,77606.6,480.46,
1777276800,2026-04-27 08:00:00 UTC,77606.59,77727.43,77592.46,77632.09,109.97,
1777277700,2026-04-27 08:15:00 UTC,77632.09,77693.83,77560.99,77572.38,132.93,
1777278600,2026-04-27 08:30:00 UTC,77572.39,77664.58,77553.23,77617.13,84.37,
1777279500,2026-04-27 08:45:00 UTC,77617.14,77816.18,77617.13,77804.34,138.27,
1777280400,2026-04-27 09:00:00 UTC,77804.34,77861.28,77783.4,77857.61,152.32,
1777281300,2026-04-27 09:15:00 UTC,77857.62,77857.62,77700,77775.96,140.18,
1777282200,2026-04-27 09:30:00 UTC,77775.96,77961.46,77755.37,77943.44,156.14,
1777283100,2026-04-27 09:45:00 UTC,77943.45,77980,77894.65,77900.01,129.86,
1777284000,2026-04-27 10:00:00 UTC,77900.01,77935.66,77801.89,77814.84,84.27,
1777284900,2026-04-27 10:15:00 UTC,77814.85,77833.68,77792.46,77809.43,99.97,
1777285800,2026-04-27 10:30:00 UTC,77809.43,77924.63,77800.5,77874.65,70.27,
1777286700,2026-04-27 10:45:00 UTC,77874.65,77897.68,77849.44,77850.01,53.16,
1777287600,2026-04-27 11:00:00 UTC,77850.01,77880,77740.39,77783.21,88.89,
1777288500,2026-04-27 11:15:00 UTC,77783.21,77883,77746.73,77860,72.1,
1777289400,2026-04-27 11:30:00 UTC,77860.01,77885.46,77780,77803.1,51.67,
1777290300,2026-04-27 11:45:00 UTC,77803.1,77855,77780,77844.26,40.12,
1777291200,2026-04-27 12:00:00 UTC,77844.25,77867.33,77736.49,77825,82.75,
1777292100,2026-04-27 12:15:00 UTC,77824.99,77858.41,77720.21,77743.36,57.22,77779.84150000001
1777293000,2026-04-27 12:30:00 UTC,77743.36,77775,77650,77737.99,92.27,77775.85564285715
1777293900,2026-04-27 12:45:00 UTC,77738,77774,77620,77667.36,183.22,77765.5227244898
1777294800,2026-04-27 13:00:00 UTC,77667.36,77783.25,77637.57,77717.42,383.86,77760.94151263362
1777295700,2026-04-27 13:15:00 UTC,77717.42,77797.64,77650,77712.69,70.36,77756.34613047804
1777296600,2026-04-27 13:30:00 UTC,77712.75,77966.8,77627.15,77854.21,128.25,77765.66649900394
1777297500,2026-04-27 13:45:00 UTC,77854.2,77862,77571.79,77746.74,180.34,77763.86397528928
1777298400,2026-04-27 14:00:00 UTC,77746.74,77916.52,77680,77855.23,175.46,77772.5655014522
1777299300,2026-04-27 14:15:00 UTC,77855.22,77920,77828.15,77881.23,76.52,77782.9145013139
1777300200,2026-04-27 14:30:00 UTC,77881.23,78220,77849.44,78178.37,286.82,77820.5769297602
1777301100,2026-04-27 14:45:00 UTC,78178.38,78265.34,77895.57,77916.2,112.2,77829.68388883065
